notebook1,file1,segment1_index_on_page,segment1_page_key,segment1_text,segment1_word_count,notebook2,file2,segment2_index_on_page,segment2_page_key,segment2_text,segment2_word_count,tfidf_similarity,cosine_similarity,euclidean_similarity,manhattan_similarity,jaccard_features,overlap_coefficient,shared_features,total_features_1,total_features_2,top_shared_features,vector1_norm,vector2_norm
14e,page_to_text.json,0,54,51 To a Child; daughter To a Child; daughter To a Child; daughter of T. and AB.,17,14e,page_to_text.json,0,60,57 And on the elements unchangeable.,6,0.2064440246118757,0.0,0.4142135623730951,0.2064440246118757,0.0,0.0,0,6,2,unchang; element; child daughter; daughter; child daughter child,1.0,1.0
14e,page_to_text.json,0,54,51 To a Child; daughter To a Child; daughter To a Child; daughter of T. and AB.,17,14g,page_to_text.json,0,62,so if 67.15.70.3 1 67 / 10545 / 15.7 67 384 335 490 100 24.5 28.5 245 1425 11. 40 525 30325 297 / 1570 / 52 1485 285 850 594 53 2560 29.7. 1 5 7 157 2079 85 397 429 100 70.3 29.7 phosphorus 29 52.9,44,0.22532388649201884,0.0,0.4142135623730951,0.22532388649201884,0.0,0.0,0,6,1,phosphoru; child daughter; daughter; daughter child; daughter child daughter,1.0,1.0
14e,page_to_text.json,0,60,57 And on the elements unchangeable.,6,14e,page_to_text.json,0,98,95 Seeking the light of Valens morning star.,8,0.20886825069486134,0.0,0.4142135623730951,0.20886825069486134,0.0,0.0,0,2,6,unchang; element; morn star; seek light; seek,1.0,1.0
14e,page_to_text.json,0,60,57 And on the elements unchangeable.,6,14e,page_to_text.json,0,142,& with respect to the attempt made by Demagoges whether in newspapers or speeches.,13,0.20661731219010115,0.0,0.4142135623730951,0.20661731219010115,0.0,0.0,0,2,6,unchang; element; newspap; respect attempt demagog; respect attempt,1.0,1.0
14e,page_to_text.json,0,60,57 And on the elements unchangeable.,6,14e,page_to_text.json,1,167,Which is the future life beyond the grave. –,8,0.24496051470343255,0.0,0.4142135623730951,0.24496051470343255,0.0,0.0,0,2,3,unchang; grave; element; futur; life,1.0,1.0
14e,page_to_text.json,0,60,57 And on the elements unchangeable.,6,14g,page_to_text.json,0,55,51 by xxxxxxx which in degrading or destroying different countries have carried down different materials.,15,0.21661257579512716,0.0,0.4142135623730951,0.21661257579512716,0.0,0.0,0,2,5,unchang; element; differ; countri; carri,1.0,1.0
14e,page_to_text.json,0,60,57 And on the elements unchangeable.,6,14g,page_to_text.json,0,62,so if 67.15.70.3 1 67 / 10545 / 15.7 67 384 335 490 100 24.5 28.5 245 1425 11. 40 525 30325 297 / 1570 / 52 1485 285 850 594 53 2560 29.7. 1 5 7 157 2079 85 397 429 100 70.3 29.7 phosphorus 29 52.9,44,0.2936105505929108,0.0,0.4142135623730951,0.2936105505929108,0.0,0.0,0,2,1,phosphoru; unchang; element,1.0,1.0
14e,page_to_text.json,0,60,57 And on the elements unchangeable.,6,14g,page_to_text.json,0,66,such as are now produced only in ages.,8,0.21890625984865297,0.0,0.4142135623730951,0.21890625984865297,0.0,0.0,0,2,5,unchang; element; produc onli; produc onli age; age,1.0,1.0
14e,page_to_text.json,0,60,57 And on the elements unchangeable.,6,14g,page_to_text.json,2,80,In the rocks of known aqueous origin there is less,10,0.24248381816884157,0.0,0.4142135623730951,0.24248381816884157,0.0,0.0,0,2,3,unchang; origin; element; known; rock,1.0,1.0
14e,page_to_text.json,0,60,57 And on the elements unchangeable.,6,14g,page_to_text.json,0,83,history or tradition - are not now known to exist.,9,0.216988431579257,0.0,0.4142135623730951,0.216988431579257,0.0,0.0,0,2,5,unchang; element; histori tradit; tradit; histori,1.0,1.0
14e,page_to_text.json,0,60,57 And on the elements unchangeable.,6,14g,page_to_text.json,1,89,- Sunday - 18 Sunday 18. Sunday 18. Mantua 19 24 Ala - 20 23 } vegetation Riva - 2 x 28 6 days more 6 days more 22,24,0.21390633627013264,0.0,0.4142135623730951,0.21390633627013264,0.0,0.0,0,2,6,unchang; sunday; element; sunday sunday; day day,1.0,1.0
14e,page_to_text.json,0,60,57 And on the elements unchangeable.,6,14g,page_to_text.json,1,147,- A life in which no faculties are employed: but those of eating & generating,13,0.21812118947944062,0.0,0.4142135623730951,0.21812118947944062,0.0,0.0,0,2,5,unchang; element; eat; employ; faculti,1.0,0.9999999999999999
14e,page_to_text.json,0,98,95 Seeking the light of Valens morning star.,8,14g,page_to_text.json,0,62,so if 67.15.70.3 1 67 / 10545 / 15.7 67 384 335 490 100 24.5 28.5 245 1425 11. 40 525 30325 297 / 1570 / 52 1485 285 850 594 53 2560 29.7. 1 5 7 157 2079 85 397 429 100 70.3 29.7 phosphorus 29 52.9,44,0.22821489650491977,0.0,0.4142135623730951,0.22821489650491977,0.0,0.0,0,6,1,phosphoru; morn star; seek light; seek; morn,1.0,1.0
14e,page_to_text.json,1,141,The Meteors blaze lighting the visible universe Is as transient And vainly should we search where,16,14g,page_to_text.json,0,62,so if 67.15.70.3 1 67 / 10545 / 15.7 67 384 335 490 100 24.5 28.5 245 1425 11. 40 525 30325 297 / 1570 / 52 1485 285 850 594 53 2560 29.7. 1 5 7 157 2079 85 397 429 100 70.3 29.7 phosphorus 29 52.9,44,0.20901944611650225,0.0,0.4142135623730951,0.20901944611650225,0.0,0.0,0,8,1,phosphoru; visibl univers; search; meteor; blaze,0.9999999999999999,1.0
14e,page_to_text.json,0,142,& with respect to the attempt made by Demagoges whether in newspapers or speeches.,13,14g,page_to_text.json,0,62,so if 67.15.70.3 1 67 / 10545 / 15.7 67 384 335 490 100 24.5 28.5 245 1425 11. 40 525 30325 297 / 1570 / 52 1485 285 850 594 53 2560 29.7. 1 5 7 157 2079 85 397 429 100 70.3 29.7 phosphorus 29 52.9,44,0.22553033445645146,0.0,0.4142135623730951,0.22553033445645146,0.0,0.0,0,6,1,phosphoru; newspap; respect attempt demagog; respect attempt; newspap speech,1.0,1.0
14e,page_to_text.json,0,157,Baths of Lucca Baths of Lucca Baths of Lucca . 1819. Aug t .,14,14g,page_to_text.json,0,62,so if 67.15.70.3 1 67 / 10545 / 15.7 67 384 335 490 100 24.5 28.5 245 1425 11. 40 525 30325 297 / 1570 / 52 1485 285 850 594 53 2560 29.7. 1 5 7 157 2079 85 397 429 100 70.3 29.7 phosphorus 29 52.9,44,0.20391475410403853,0.0,0.4142135623730951,0.20391475410403853,0.0,0.0,0,9,1,phosphoru; bath lucca; bath; lucca; bath lucca bath,1.0,1.0
14e,page_to_text.json,0,157,Baths of Lucca Baths of Lucca Baths of Lucca . 1819. Aug t .,14,14g,page_to_text.json,0,156,"when I return } return } . + , 6.12 1 On the road to the Baths of Lucca Baths of Lucca Baths of Lucca layers of Limestone & chert very near each other & almost blended & much twisted",34,0.252727815659512,0.7355131417074464,0.5789362856485296,0.252727815659512,0.3,0.6666666666666666,6,9,17,bath lucca; bath; lucca; lucca bath; bath lucca bath,1.0,1.0
14e,page_to_text.json,1,167,Which is the future life beyond the grave. –,8,14g,page_to_text.json,0,55,51 by xxxxxxx which in degrading or destroying different countries have carried down different materials.,15,0.20462102248060082,0.0,0.4142135623730951,0.20462102248060082,0.0,0.0,0,3,5,grave; futur; differ; countri; carri,1.0,1.0
14e,page_to_text.json,1,167,Which is the future life beyond the grave. –,8,14g,page_to_text.json,0,62,so if 67.15.70.3 1 67 / 10545 / 15.7 67 384 335 490 100 24.5 28.5 245 1425 11. 40 525 30325 297 / 1570 / 52 1485 285 850 594 53 2560 29.7. 1 5 7 157 2079 85 397 429 100 70.3 29.7 phosphorus 29 52.9,44,0.2720038601296074,0.0,0.4142135623730951,0.2720038601296074,0.0,0.0,0,3,1,phosphoru; grave; futur; life,1.0,1.0
14e,page_to_text.json,1,167,Which is the future life beyond the grave. –,8,14g,page_to_text.json,0,66,such as are now produced only in ages.,8,0.20666658263938092,0.0,0.4142135623730951,0.20666658263938092,0.0,0.0,0,3,5,grave; futur; produc onli; produc onli age; life,1.0,1.0
14e,page_to_text.json,1,167,Which is the future life beyond the grave. –,8,14g,page_to_text.json,2,80,In the rocks of known aqueous origin there is less,10,0.22755547608069954,0.0,0.4142135623730951,0.22755547608069954,0.0,0.0,0,3,3,grave; origin; futur; known; rock,1.0,1.0
14e,page_to_text.json,1,167,Which is the future life beyond the grave. –,8,14g,page_to_text.json,0,83,history or tradition - are not now known to exist.,9,0.2049563835845689,0.0,0.4142135623730951,0.2049563835845689,0.0,0.0,0,3,5,grave; futur; histori tradit; tradit; histori,1.0,1.0
14e,page_to_text.json,1,167,Which is the future life beyond the grave. –,8,14g,page_to_text.json,1,89,- Sunday - 18 Sunday 18. Sunday 18. Mantua 19 24 Ala - 20 23 } vegetation Riva - 2 x 28 6 days more 6 days more 22,24,0.20220444972118531,0.0,0.4142135623730951,0.20220444972118531,0.0,0.0,0,3,6,grave; sunday; futur; sunday sunday; life,1.0,1.0
14e,page_to_text.json,1,167,Which is the future life beyond the grave. –,8,14g,page_to_text.json,1,147,- A life in which no faculties are employed: but those of eating & generating,13,0.22940151520778726,0.08891141309937299,0.42555356752163204,0.22940151520778726,0.14285714285714285,0.3333333333333333,1,3,5,grave; futur; life; eat; employ,1.0,0.9999999999999999
14g,page_to_text.json,1,3,The last sovereign who claimed the name of Roman Emperor & who Cont renounced that name to purchase,17,14g,page_to_text.json,0,62,so if 67.15.70.3 1 67 / 10545 / 15.7 67 384 335 490 100 24.5 28.5 245 1425 11. 40 525 30325 297 / 1570 / 52 1485 285 850 594 53 2560 29.7. 1 5 7 157 2079 85 397 429 100 70.3 29.7 phosphorus 29 52.9,44,0.20786267699709077,0.0,0.4142135623730951,0.20786267699709077,0.0,0.0,0,8,1,phosphoru; purchas; renounc; renounc purchas; sovereign,1.0,1.0
14g,page_to_text.json,1,35,as He expresses himself He should be able to succeed if be able to succeed if burn in this exp ts ; - He placed,24,14g,page_to_text.json,0,62,so if 67.15.70.3 1 67 / 10545 / 15.7 67 384 335 490 100 24.5 28.5 245 1425 11. 40 525 30325 297 / 1570 / 52 1485 285 850 594 53 2560 29.7. 1 5 7 157 2079 85 397 429 100 70.3 29.7 phosphorus 29 52.9,44,0.20357555787385004,0.0,0.4142135623730951,0.20357555787385004,0.0,0.0,0,10,1,phosphoru; abl succeed; abl; succeed; exp ts,1.0,1.0
14g,page_to_text.json,1,47,To determine if the opinion or the facts of Lanley be correct that the cold in,16,14g,page_to_text.json,0,62,so if 67.15.70.3 1 67 / 10545 / 15.7 67 384 335 490 100 24.5 28.5 245 1425 11. 40 525 30325 297 / 1570 / 52 1485 285 850 594 53 2560 29.7. 1 5 7 157 2079 85 397 429 100 70.3 29.7 phosphorus 29 52.9,44,0.2161273898874787,0.0,0.4142135623730951,0.2161273898874787,0.0,0.0,0,7,1,phosphoru; opinion fact; opinion fact lanley; opinion; correct,1.0,1.0
14g,page_to_text.json,2,54,- It may seem incompatible with the existence of living beings in the Ocean that it should contain such substances as these which from,23,14g,page_to_text.json,0,62,so if 67.15.70.3 1 67 / 10545 / 15.7 67 384 335 490 100 24.5 28.5 245 1425 11. 40 525 30325 297 / 1570 / 52 1485 285 850 594 53 2560 29.7. 1 5 7 157 2079 85 397 429 100 70.3 29.7 phosphorus 29 52.9,44,0.2099402600401421,0.0,0.4142135623730951,0.2099402600401421,0.0,0.0,0,8,1,phosphoru; contain substanc; ocean contain; incompat; substanc,1.0,1.0
14g,page_to_text.json,0,55,51 by xxxxxxx which in degrading or destroying different countries have carried down different materials.,15,14g,page_to_text.json,0,62,so if 67.15.70.3 1 67 / 10545 / 15.7 67 384 335 490 100 24.5 28.5 245 1425 11. 40 525 30325 297 / 1570 / 52 1485 285 850 594 53 2560 29.7. 1 5 7 157 2079 85 397 429 100 70.3 29.7 phosphorus 29 52.9,44,0.23749217900052821,0.0,0.4142135623730951,0.23749217900052821,0.0,0.0,0,5,1,phosphoru; differ; countri; carri; destroy,1.0,1.0
